Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,XCP-BTB-FB-S,City Spirit - Bond Street Brighton - Fleece Blanket (Small),1,0,visible,"Cosy polar fleece blanket featuring Bond Street Brighton photography. Perfect for home, picnics, or beach days.","<p>Cosy up with your favourite blanket. This soft and snuggly Plush Fleece Blanket is lightweight and comforting, good for wrapping up in on cold evenings or taking on picnics or to the beach to make your personal space.</p><p><strong>Features:</strong></p><ul><li>100% polyester polar fleece</li><li>Double-sided print</li><li>Soft and warm</li><li>Machine washable</li><li>Original XC Photography design</li></ul><p><strong>Care Instructions:</strong> Machine wash cold, tumble dry low</p>",,,taxable,,1,,,,0,0.45,,,,,68.99,68.99,"Home Decor, City Spirit Collection","city-spirit, Xavier-Clarke, Brighton, blanket, home-decor",,"https://cdn.shopify.com/s/files/1/0568/1817/1952/products/mockup-23269-1660569743124.jpg | https://cdn.shopify.com/s/files/1/0568/1817/1952/products/mockup-23269-112401-1660569734437.jpg",,,,,,,,,,0,Size,100cm x 150cm,1,1
simple,XCP-BTB-FB-L,City Spirit - Bond Street Brighton - Fleece Blanket (Large),1,0,visible,"Cosy polar fleece blanket featuring Bond Street Brighton photography. Larger size perfect for home use.","<p>Cosy up with your favourite blanket. This soft and snuggly Plush Fleece Blanket is lightweight and comforting, good for wrapping up in on cold evenings or taking on picnics or to the beach to make your personal space.</p><p><strong>Features:</strong></p><ul><li>100% polyester polar fleece</li><li>Double-sided print</li><li>Soft and warm</li><li>Machine washable</li><li>Original XC Photography design</li></ul><p><strong>Care Instructions:</strong> Machine wash cold, tumble dry low</p>",,,taxable,,1,,,,0,0.45,,,,,74.99,74.99,"Home Decor, City Spirit Collection","city-spirit, Xavier-Clarke, Brighton, blanket, home-decor",,"https://cdn.shopify.com/s/files/1/0568/1817/1952/products/mockup-23269-1660569733699.jpg",,,,,,,,,,1,Size,120cm x 175cm,1,1
simple,XCP-PRINT-A4,Fine Art Print - A4,1,1,visible,"Museum-quality fine art print on premium paper. Perfect for framing.","<p>Professional fine art print featuring original XC Photography work. Each print is produced on premium archival paper for lasting quality.</p><p><strong>Specifications:</strong></p><ul><li>Size: A4 (21cm x 29.7cm)</li><li>Paper: 230gsm fine art matte</li><li>Finish: Smooth matte</li><li>Giclée printing process</li><li>Archival quality (100+ years)</li><li>Signed by artist</li></ul><p><strong>Frame not included</strong></p>",,,taxable,,1,,,,0,0.05,,,,,45.00,45.00,"Fine Art Prints","prints, fine-art, wall-art, photography",,,,,,,,,,,,2,Size,A4 (21x30cm),1,1
simple,XCP-PRINT-A3,Fine Art Print - A3,1,1,visible,"Museum-quality fine art print on premium paper. Larger format for impact.","<p>Professional fine art print featuring original XC Photography work. Each print is produced on premium archival paper for lasting quality.</p><p><strong>Specifications:</strong></p><ul><li>Size: A3 (29.7cm x 42cm)</li><li>Paper: 230gsm fine art matte</li><li>Finish: Smooth matte</li><li>Giclée printing process</li><li>Archival quality (100+ years)</li><li>Signed by artist</li></ul><p><strong>Frame not included</strong></p>",,,taxable,,1,,,,0,0.1,,,,,65.00,65.00,"Fine Art Prints","prints, fine-art, wall-art, photography",,,,,,,,,,,,3,Size,A3 (30x42cm),1,1
simple,XCP-CANVAS-20X30,Gallery Canvas Wrap - 20x30",1,1,visible,"Ready-to-hang gallery canvas wrap. Professional quality for homes and offices.","<p>Transform your space with this stunning gallery-wrapped canvas print. Stretched over a wooden frame and ready to hang out of the box.</p><p><strong>Features:</strong></p><ul><li>Size: 20" x 30" (51cm x 76cm)</li><li>1.5" depth gallery wrap</li><li>Premium poly-cotton canvas</li><li>Fade-resistant archival inks</li><li>Hanging hardware included</li><li>Wrapped edges (image continues around sides)</li></ul><p><strong>Ready to hang - no frame needed</strong></p>",,,taxable,,1,,,,0,1.2,,,,,120.00,120.00,"Canvas & Wall Art","canvas, wall-art, photography, ready-to-hang",,,,,,,,,,,,4,Size,"20x30""",1,1
simple,XCP-METAL-16X20,Metal Print - 16x20",1,1,visible,"Vibrant metal print with modern floating mount. Stunning depth and color.","<p>Ultra-modern metal print with incredible vibrancy and depth. The aluminum surface gives photographs a unique luminosity and 3D quality.</p><p><strong>Features:</strong></p><ul><li>Size: 16" x 20" (41cm x 51cm)</li><li>High-gloss aluminum</li><li>Dye sublimation printing</li><li>Waterproof and scratch-resistant</li><li>Floating mount included</li><li>Lightweight and durable</li></ul><p><strong>Contemporary look perfect for modern interiors</strong></p>",,,taxable,,1,,,,0,0.8,,,,,140.00,140.00,"Canvas & Wall Art, Fine Art Prints","metal-print, wall-art, modern, photography",,,,,,,,,,,,5,Size,"16x20""",1,1
simple,XCP-FRAMED-A2,Framed Print - A2,1,1,visible,"Ready-to-hang framed print with premium black frame and mount.","<p>Complete framed artwork ready to hang. Includes professional-quality frame, acid-free mount, and glass protection.</p><p><strong>Specifications:</strong></p><ul><li>Print size: A2 (42cm x 59.4cm)</li><li>Frame: Black wood, 2cm profile</li><li>Mount: Acid-free white</li><li>Glazing: Standard glass</li><li>230gsm fine art paper</li><li>Hanging hardware included</li></ul><p><strong>Professional quality, gallery-ready</strong></p>",,,taxable,,1,,,,0,2.5,,,,,95.00,95.00,"Fine Art Prints, Canvas & Wall Art","framed-print, wall-art, photography, ready-to-hang",,,,,,,,,,,,6,Size,A2 Framed,1,1
simple,XCP-ACRYLIC-20X30,Acrylic Print - 20x30",1,1,visible,"Premium acrylic face mount with floating mount. Luxury gallery piece.","<p>Our most luxurious print option. Face-mounted to crystal-clear acrylic for incredible depth and a floating effect that captivates.</p><p><strong>Features:</strong></p><ul><li>Size: 20" x 30" (51cm x 76cm)</li><li>6mm premium acrylic</li><li>Face-mounted for depth</li><li>Polished edges</li><li>Floating mount system included</li><li>Museum-quality presentation</li><li>Limited edition (numbered)</li></ul><p><strong>Investment-grade art piece</strong></p>",,,taxable,,1,,,,0,3.5,,,,,295.00,295.00,"Fine Art Prints, Limited Editions","acrylic-print, luxury, wall-art, photography, limited-edition",,,,,,,,,,,,7,Size,"20x30""",1,1
simple,XCP-PHOTOBOOK-A4,Brand Photography Portfolio Book,1,0,visible,"Hardcover photo book showcasing your brand photography session.","<p>Beautiful hardcover photo book featuring the best images from your branding session. Perfect for showcasing to clients, investors, or keeping as a treasured record.</p><p><strong>Features:</strong></p><ul><li>Size: A4 landscape (30cm x 21cm)</li><li>20-40 pages</li><li>Hardcover with dust jacket</li><li>Premium lustre paper</li><li>Professional layout and design</li><li>Personalized with your branding</li></ul><p><strong>Available as add-on to photography packages or standalone purchase</strong></p>",,,taxable,,1,,,,0,0.8,,,,,125.00,125.00,"Brand Photography, Gifts & Accessories","photo-book, brand-photography, corporate, gift",,,,,,,,,,,,8,Pages,20-40 pages,1,1
simple,XCP-DIGITAL-PACK,High-Resolution Digital Download Pack,1,0,visible,"Complete set of high-res files from your photography session.","<p>Receive all final edited images from your photography session in high-resolution format, perfect for print and digital use.</p><p><strong>Includes:</strong></p><ul><li>15-30 professionally edited images</li><li>High-resolution JPG (300 DPI)</li><li>Web-optimized versions (72 DPI)</li><li>Full commercial usage rights</li><li>Secure download link (valid 30 days)</li><li>Cloud storage for 1 year</li></ul><p><strong>Perfect for marketing materials, website, and social media</strong></p>",,,taxable,,1,,,,0,0,,,,,250.00,250.00,"Brand Photography","digital, download, photography, brand-photography",,,,,,,,,,,,9
